author,published_at,updated_at,like_count,text,video_id
@andrigultom2294,2020-10-10T01:58:43Z,2020-10-10T01:58:43Z,2,"Sebenarnya brita kemarin gak kayak gini,yg hoak mana yank gak hoak mana aku msh bingung bos😂😂",AgKEvHfdUpQ
@andrigultom2294,2020-10-10T01:57:02Z,2020-10-10T01:57:02Z,0,"Aku minta ijin disini setiap melamar pake biaya admin,coba tolong di selesaikan kayak gini, kita mau kerja bukan byar mau kerja😂,anak rantau susah nyari kerja",AgKEvHfdUpQ
@arib6333,2020-10-10T01:14:22Z,2020-10-10T01:14:22Z,0,Rakyat indonesia darurat membaca,AgKEvHfdUpQ
@Cranberriez,2020-10-10T00:50:59Z,2020-10-10T00:50:59Z,0,"Stasiun tv ini bs mnjelaskan ttg ruu ini pd masyarakat, jd biar masyarakat awam jelas mksd dan isinya",AgKEvHfdUpQ
@rikomarendra6681,2020-10-10T00:21:45Z,2020-10-10T00:21:45Z,0,Banjir dah TKA,AgKEvHfdUpQ
@masadiahmad6786,2020-10-09T23:57:23Z,2020-10-09T23:57:23Z,0,"Kita kalau Cari Cari Berita, Harus Dari Media Yang Resmi. Jangan Asal Berita",AgKEvHfdUpQ
@masadiahmad6786,2020-10-09T23:52:33Z,2020-10-09T23:52:33Z,2,"Kerena Kebanyakan RAKYAT INDONESIA yang Berpendidikan Rendah, Sebenarnya peraturan Sangat Baik sekali Di Bandingkan yang Dulu.",AgKEvHfdUpQ
@SinOpsis-Ind,2020-10-09T23:47:03Z,2020-10-09T23:47:03Z,0,"zaman gini jadi buruh mending jadi TKI deh, biar banyak dollar",AgKEvHfdUpQ
@retwinarti2007,2020-10-09T23:00:37Z,2020-10-09T23:00:37Z,5,"Yg paling rugi adl said iqbal

OBL menguntungkan buruh.  Jokowi sedang mmbela buruh

Serikat pekerja yg kerjanya mmperalat buruh nyungsep!  Ikbal kejam, hidup mewah, milyader.

Yg demo jangan daftar buruh pada industri baru.  Silakan nganggur sj. Tak usah kerja.  


Cikeas yg akan menjamin kehidupan anda. Nunggu order demo berikutnya.",AgKEvHfdUpQ
@hachi8074,2020-10-09T22:48:45Z,2020-10-09T22:48:45Z,1,Yg sering bikin hoax adalah kaumnya Dajal,AgKEvHfdUpQ
@reno_raditya,2020-10-09T20:57:18Z,2020-10-09T20:57:18Z,0,pada akhirnya UU itu cuman dokumen di atas kertas.. karna di pengadilan tetap uang yg berbicara... kerusuhan model gini ga akan membawa kemenangan apa2... semisal UU baru dibatalkan pun tetep aja kalo ga punya duit di pengadilan akan kalah..,AgKEvHfdUpQ
@yohanesandreas3597,2020-10-09T20:32:01Z,2020-10-09T20:32:01Z,0,bagus sekali narasinya. siapa yg nyusun narasinya? hehe,AgKEvHfdUpQ
@bangkithutajulu8851,2020-10-09T20:13:07Z,2020-10-09T20:13:07Z,0,"setiap media ngebahas tp bikin panas suasana bukannya bikin adem, mana nih kpi?",AgKEvHfdUpQ
@danijkt1830,2020-10-09T20:01:36Z,2020-10-09T20:01:36Z,3,"Memang yg demo bnyk yg gkk ngrti, tapi nurani slu liat fakta. Fakta di lapangan, upah minim
Aplagi ttg tka. Mrka gaji gede n masuk se enaknya..ini fakta n real",AgKEvHfdUpQ
@danijkt1830,2020-10-09T20:00:00Z,2020-10-09T20:00:00Z,0,"Gw gkk ngerti..
Yg gw tau, fakta di lapangan gaji kecil. Walau ada umr, fktaxx bnyk yg gaji cuma 1 jt an..ini real",AgKEvHfdUpQ
@ChallisoL_yaya,2020-10-09T19:07:35Z,2020-10-09T19:07:35Z,1,3 hari kmn aja loe jok,AgKEvHfdUpQ
@coldkey7661,2020-10-09T18:41:50Z,2020-10-09T18:47:00Z,0,"Banyak yang tidak sebutkan, atau tidak detail atau aturannya diserahkan ke perusahaan,  dan yang paling nyesek waktu istirahat mingguan menjadi 1 hari, ini yang paling sangat-sangat tidak adil,",AgKEvHfdUpQ
@wijayasantoso4339,2020-10-09T17:41:33Z,2020-10-09T17:42:36Z,11,"TONG KOSONG NYARING BUNYINYA..wkwk...ternyata fakta
Apakah kuliah itu menjamin pintar..ternyata tidak...terbukti lulusan SMK bisa membawahi S1😅",AgKEvHfdUpQ
@wijayasantoso4339,2020-10-09T17:39:47Z,2020-10-09T17:39:47Z,1,Dr pada pintar kaga ribut ia...mending calm down & study ...be smart,AgKEvHfdUpQ
@deswitaazhar9795,2020-10-09T17:38:05Z,2020-10-09T17:38:05Z,0,Udah bikin gaduh baru ada penjelasannya,AgKEvHfdUpQ
@mettakaruna5870,2020-10-09T17:05:59Z,2020-10-09T17:05:59Z,0,"buruh yang demo sebagian besar tidak mengerti sehingga dimanfaatkan oleh lawan politik jokowi. alangkah baiknya jika sebelum diundangkan, omnibus law ini disosialisasikan lebih dulu",AgKEvHfdUpQ
@faisalamri5614,2020-10-09T16:12:12Z,2020-10-09T16:12:12Z,0,"Sudah demo sudah bentrok sudah ribut
Baru nyusul penjelasan

Kan lbh sosialisasi
Serta pernyataan konprensi pers
Duduk bersama demi menuai hasil yg mufakat",AgKEvHfdUpQ
@radencirebon4471,2020-10-09T16:01:58Z,2020-10-09T16:01:58Z,0,Klo demo di rubah klo ga demo ga usah di rubah gitu aja ko repot,AgKEvHfdUpQ
@akikinantan7456,2020-10-09T15:59:53Z,2020-10-09T15:59:53Z,0,Kok baru kini setelah demodemo yg sia2 itu??? Mengapa tidsk seminggu sebelum demo di obok2 oleh propokator mbak???,AgKEvHfdUpQ
@juniorsgalery6688,2020-10-09T15:37:29Z,2020-10-09T15:37:29Z,1,"Hakul yakin lebih besar buruknya buat buruh,,,,, dalam pelaksanaanya,,,,, tidak semua pengusaha berhati putih,,,,,",AgKEvHfdUpQ
@dmsa7989,2020-10-09T15:26:05Z,2020-10-09T15:26:05Z,3,"sebelum demo dan sesudah demo kok beda ya..
ini seblm demo..https://youtu.be/myuwP1PGUR0",AgKEvHfdUpQ
@fungkyboy2581,2020-10-09T15:19:40Z,2020-10-09T15:19:40Z,2,Tolong di perjelskan lgi..catatan yg ada di RUU CIPTA KERJA itu berbeda dngan apa yg kau jelaskan dsni,AgKEvHfdUpQ
@singaparna7116,2020-10-09T15:16:24Z,2020-10-09T15:16:24Z,0,"+62 kerja rp 1000 ngak kerja rp 500, kerja ngak kerja rp 1500😱😱😱🤑🤑🤑😷😷😷",AgKEvHfdUpQ
@halomoan88,2020-10-09T14:03:41Z,2020-10-09T14:03:41Z,0,"Abis NONTON berita, NYESAL LOE udah DEMO dan HANCURIN kota LOE . Makan TUH HOAK !",AgKEvHfdUpQ
@bongbeng2837,2020-10-09T14:02:42Z,2020-10-09T14:02:42Z,1,"Pintar sekali penjelasannya cepat tapi gampang di mengerti..
Sehat selalu mba👍👍👍",AgKEvHfdUpQ
@anandat2438,2020-10-09T13:59:17Z,2020-10-09T13:59:17Z,1,CNBC! sumber UU kamu dari mana? Jangan nyebarin berita dari sumber ga jelas! Analisa sendiri bukan?,AgKEvHfdUpQ
@yokowasis,2020-10-09T13:26:14Z,2020-10-09T13:26:14Z,0,Makan tu HOAX. Mau aja dikibuli.,AgKEvHfdUpQ
@riaddewa831,2020-10-09T13:18:33Z,2020-10-09T13:18:33Z,7,"giliran yang video bagus gini sepi.tapi hoax rame,susah memang negri ini",AgKEvHfdUpQ
@patrickleonard2725,2020-10-09T13:12:04Z,2020-10-09T13:12:04Z,5,"mahasiswa hari ini = kaum demo berjilid"" :)
selamat a' wqwq",AgKEvHfdUpQ
@danitosca9976,2020-10-09T12:56:36Z,2020-10-09T12:56:36Z,2,"Pateni bae calo2 pejual negara ini.
DEWAN PENGHIANAT RAKYAT",AgKEvHfdUpQ
@donahartono9596,2020-10-09T09:22:44Z,2020-10-09T09:22:44Z,0,Manusia tuli,AgKEvHfdUpQ
@cahgunem5739,2020-10-09T07:39:48Z,2020-10-09T07:39:48Z,11,"aku sih setuju.
memudahkan para pengusaha membuat lapangan kerja agar yg nganggur segera kembali kerja.
lg punya usaha kecil2an/umkm biar segera naik kelas",AgKEvHfdUpQ
@marzukimisna5660,2020-10-09T06:56:00Z,2020-10-09T06:56:00Z,0,Masalah tka sangat tepat sudah uu nya jikala amburadul tetap negara akan di tuntut.,AgKEvHfdUpQ
@anakmanis4590,2020-10-09T05:07:56Z,2020-10-09T05:07:56Z,0,"Bingung sama orang yang demo,apa sih yang di demo??UUnya biasa aja,ini Tergantung  tempat kerja lu beres atau endak wkwkwk,Emosi mulu🥱",AgKEvHfdUpQ
@larvamagic2523,2020-10-09T04:49:35Z,2020-10-09T04:49:35Z,0,wihhh penjelasannya masih memihak pengusaha....brita dak jelas...,AgKEvHfdUpQ
@adrianadi8581,2020-10-09T04:03:19Z,2020-10-09T04:03:19Z,1,Yang demo ricuh kemaren udh pada baca dan tau isinya belum?,AgKEvHfdUpQ
@nasaberjaya4876,2020-10-09T03:55:18Z,2020-10-09T03:55:18Z,0,"makasih CNBC,  tayangan nya sangat mendidik...",AgKEvHfdUpQ
@anggaprt1129,2020-10-09T01:37:23Z,2020-10-09T01:37:23Z,0,Ini baru saya mengerti...,AgKEvHfdUpQ
@DelayNoMore4444,2020-10-09T01:20:19Z,2020-10-09T01:20:19Z,2,"Fokus kesehatan dulu lah , di Masa pandemi ini Mana ada investor sehat ? Mungkin Investor aji mumpung memanfaatkan situasi ketika Indonesia sedang sakit .Tunggu Indonesia sehat baru bicara Investasi.",AgKEvHfdUpQ
@tedysetiyadi3128,2020-10-09T01:17:50Z,2020-10-09T01:17:50Z,0,"Pelajaran yang bisa kita ambil bukan hanya untuk masalah uu citaker ini. Budayakan membaca secara utuh dan cari informasinya dulu sebelum menyebarkannya, jangan sampe jatuhnya menyebarkan hoaks",AgKEvHfdUpQ
@indrabayu7037,2020-10-09T00:30:48Z,2020-10-09T00:30:48Z,0,"Punya 2 draf uu cipta kerja yg masing2 900an dan 1000an halaman, mana yang baru dan mana yg lama ya?",AgKEvHfdUpQ
@lorong_jalan,2020-10-08T23:52:33Z,2020-10-08T23:52:33Z,15,"Indonesia sejak dulu emang kayak gitu😂😂
Di bilang bodoh tidak mau❗
Kalo di bodoh bodohin mau aja😅😅
Jagan pernah Kedamayan di tukar dengan uang,
Karana kita berada di indonesia
NKRI harga mati
Biarkan Rakyat Menyampaikan Aspirasinya,
Jagan sampai ditolak❗",AgKEvHfdUpQ
@penonton4260,2020-10-08T23:29:55Z,2020-10-08T23:29:55Z,7,"plus nya sangat2 bagus buat industri kecil rumahan.
jelex nya menghancurkan lingkungan.
dan sangat2 merugikan pekerja.
TAMAT",AgKEvHfdUpQ
@andreaspanggeso9211,2020-10-08T22:17:43Z,2020-10-08T22:17:43Z,0,Prtanyaannya kenapa aturan turunannya tidak langsung di buat juga. Biar jelas arahnya kemana.,AgKEvHfdUpQ
@vennyarviana4825,2020-10-08T20:11:35Z,2020-10-08T20:11:35Z,4,"So far aku pribadi merasa ini pembahasan terbaik. terutama bagian pas jelasin ""memang tidak ditulis/dijelaskan di dalam UU karena memang pasal tersebut tidak berubah"". really ga banyak orang paham ini di mana di dalam UU perubahan itu yang ditulis cuma pasal2 yang mau diubah/dihapus doank. kalo masih sama ya ngapain ditulis ulang kan. dan gegara ini banyak yg salah paham akhirnya kebawa emosi.

dan suka juga pas bilang suruh tunggu Peraturan Pemerintah (PP) nya dulu untuk kemudian menentukan sikap. Sumpah dari sekian banyak media, aku belum nemu ada yang bahas ini waktu ngebedah UU Ciptaker. Well ini penting karena ngasih tau ke masyarakat kalau actually peraturan UU masih ""belum berakhir"". Jadi jangan ditelen mentah2 yang di UU. kawal dulu PP nya gimana baru komen dan bertindak.",AgKEvHfdUpQ
@AjaySudrajat-bt2it,2020-10-08T20:03:16Z,2020-10-08T20:03:16Z,2,"Tanggung jawab dong itu yang ngajak-ngajak demo. Ngajaknya doang mau,ini udah pada benjol terus dapet pencerahan begini nambah pusing nih 😅 biar apa sih bikin isu sampah ? Nggk berani ngomong ke menteri atau ke presiden langsung ? Cemen banget sih harus nyari masa dulu 😝",AgKEvHfdUpQ
